后排座椅不能够调节	后排座椅难受	座椅不够舒服	后排座椅难受	后排座椅舒服	座椅不灵活	座椅不舒服	后排支撑够	后排空间不大	后排空间够大	后排空间够用	座椅灵活	后排压抑	座椅偏硬	内饰不够豪华	前排空间够用	空间不够用	后排舒服	后排头部空间小	前排空间不错	后排无隆起	后备厢空间够大
内饰材质不好	内饰用料不好	内饰用料不好	内饰做工不好	内饰不错	内饰不好看	内饰质感不错	内饰做工很好	内饰做工不错	内饰设计不错	内饰用料好	操控不好	视野不好	刹车不好	音响效果不好	设计不好	内饰用料差	车漆质量好	内饰不够豪华	空调效果不好	内饰豪华	用料不好
涉水能力好评		越野能力强	内饰不好看	操控不好	导航好用	动力充足	视野不好	隔音好	设计不好看	刹车性能好	前脸好看	刹车不好	日行灯好看	功能丰富	操控好	做工好	设计不好	车漆质量好	动力不足	空间效果好	动力满意
内饰做工细致	内饰做工很好	内饰做工不好	内饰做工很好	内饰做工不错	内饰不错	内饰不好看	内饰质感不错	做工好	内饰用料不好	内饰用料差	内饰不够豪华	做工讲究	内饰豪华	做工不错	内饰设计不错	内饰用料好	外观做工不错	内饰好看	内饰简洁	做工粗糙	外观做工不精细
中控台造型不好		操控不好	中控设计好	视野不好	刹车不好	音响效果不好	操控好	尾灯造型独特	内饰用料不好	设计不好	空调效果不好	内饰做工不好	操控很好	用料不好	避震效果不好	中控异响	方向盘手感不好	隔音不好	氛围灯不好	中控大气	中控简洁
动力差	动力不足	动力充足	路感差	动力不足	动力满意	动力偏弱	动力够用	动力不错	动力很弱	指向差	导航差	空间、	隔音好	动力不平顺	丰富	油耗	头部	发动机抖	操控好	油门重	省电
车里隔音效果满意	隔音好	隔音好	音响效果不好	空间效果好	动力满意	空调效果不好	油耗很满意	空调效果好	避震效果不好	油耗满意	隔音不好	音响效果很好	音响效果一般	避震效果好	制冷效果好	车尾小气	车尾别扭	车头漂亮	车漆偏薄	车漆质量好	噪音小
动力满意		动力满意	动力充足	动力不足	动力偏弱	动力够用	动力不错	动力很弱	油耗满意	动力不平顺	动力非常好	油耗很满意	内饰不错	空间、	配置很高	屁股难看	操控不好	导航好用	配置略低	油门适中	油门灵敏
动力足够	动力够用	动力充足	动力不足	动力满意	动力偏弱	动力够用	动力不错	动力很弱	动力不平顺	动力非常好	内饰不错	空间、	配置很高	屁股难看	操控不好	导航好用	配置略低	油门适中	油门灵敏	视野宽敞	视野不好
后排座椅舒服		后排座椅舒服	后排舒服	后排座椅难受	座椅舒服	座椅不舒服	座椅灵活	后排压抑	操控比较舒服	座椅偏硬	后排支撑够	座椅不够舒服	后排空间不大	后排无隆起	后排空间够大	后排坐垫短	后排有隆起	后排空间小	后排空间很大	后排空间够用	座椅不灵活
市区路段动力给力	动力充足	动力充足	动力不足	动力满意	动力偏弱	动力够用	动力不错	市区油耗高	动力很弱	动力不平顺	发动机抖动	发动机抖	路感差	轮胎抓地力强	路感	动力非常好	发动机稳定	方向盘抖动	发动机不错	路感清晰	越野能力强
空调开启后动力绰绰有余	动力充足	动力充足	动力不平顺	动力不足	动力满意	动力输出平顺	动力非常好	空调效果不好	动力偏弱	动力够用	动力不错	动力很弱	空调效果好	转向力度适中	空间、	发动机抖动	空间宽裕	后排压抑	发动机抖	空间一般	轮胎抓地力强
内饰简洁		内饰简洁	内饰不错	内饰豪华	设计简洁	中控简洁	内饰好看	内饰不好看	内饰用料差	内饰用料好	空间、	配置很高	屁股难看	操控不好	导航好用	配置略低	动力充足	油门适中	油门灵敏	视野宽敞	视野不好
钣金做工不精细	外观做工不精细	外观做工不精细	内饰做工不好	做工不错	内饰做工不错	外观做工不错	做工好	转向不精准	做工讲究	内饰做工很好	做工粗糙	内饰不错	内饰不好看	操控不好	视野不好	设计不好看	动力不平顺	内饰质感不错	刹车不好	音响效果不好	高速不稳
第三排空间足够	后排空间够大	第三排空间挤	前排空间够用	前排空间不错	前排空间偏小	后排空间不大	后排空间够大	前排空间够大	后排空间小	后排空间很大	后排空间够用	空间、	空间宽裕	储物空间够用	储物空间很少	储物空间合理	空间一般	横向空间小	空间不够用	后排支撑够	空间够用
异味轻	无异味	异味大	无异味	有异味	空间、	隔音好	丰富	油耗	头部	路感差	操控好	油门重	省电	做工好	油箱大	灯光暗	刹车软	邮箱小	路感	噪音小	有异响
内饰造型好	内饰设计不错	内饰用料好	内饰不错	内饰不好看	内饰用料不好	内饰用料差	内饰做工不好	内饰做工很好	内饰豪华	内饰好看	内饰简洁	操控不好	视野不好	隔音好	刹车性能好	内饰质感不错	刹车不好	操控好	做工好	尾灯造型独特	设计不好
扶手箱空间小		横向空间小	主驾空间小	空间小	后排空间小	储物空间小	空间、	邮箱小	主驾头部空间小	后排头部空间小	前排空间偏小	储物空间大	空间较小	改装空间大	第三排空间挤	储物空间少	空间很小	油箱小	横向空间大	主驾头部空间太小	空间宽裕
仪表盘造型好评	仪表盘大气	仪表盘大气	仪表盘简洁明了	尾灯造型独特	方向盘手感好	内饰不好看	操控不好	导航好用	视野不好	隔音好	设计不好看	刹车性能好	前脸好看	刹车不好	日行灯好看	音响效果不好	操控好	做工好	方向盘大小适中	内饰用料不好	设计不好
市区路段加速好		市区油耗高	操控不好	视野不好	隔音好	刹车性能好	刹车不好	音响效果不好	路感差	操控好	做工好	内饰用料不好	设计不好	加速较慢	车漆质量好	空间效果好	路感	动力非常好	空调效果不好	方向盘手感好	内饰做工不好
加速换档平顺	变速箱换挡平顺	变速箱换挡平顺	动力不平顺	加速较慢	动力输出平顺	刹车平顺	加速不错	加速很快	变速箱换挡积极	起步平稳	高速不稳	变速箱不行	过弯平稳	变速箱响应慢	车尾平庸	高速稳定	高速油耗高	新车味道大	内饰不错	内饰不好看	转向力度适中
内饰造型优秀	内饰设计不错	内饰不错	内饰不好看	内饰质感不错	尾灯造型独特	内饰用料不好	内饰用料差	内饰不够豪华	内饰做工不好	内饰做工很好	内饰豪华	内饰做工不错	内饰设计不错	内饰用料好	内饰好看	内饰简洁	新车味道大	转向力度适中	空间、	配置很高	屁股难看
ABS防抱死差		A柱异响	路感差	内饰用料差	用料略差	B柱异响	座椅包裹性差	指向差	通过性差	导航差	新车味道大	内饰不错	内饰不好看	转向力度适中	空间、	配置很高	门板储物格鸡肋	屁股难看	操控不好	导航好用	配置略低
方向盘手感好		方向盘手感好	方向盘手感不好	方向盘抖动	方向盘大小适中	方向盘指向精准	转向手感不错	转向力度适中	操控不好	视野不好	隔音好	刹车性能好	刹车不好	音响效果不好	路感差	操控好	转向灵活	做工好	内饰用料不好	设计不好	横向空间小
转向有虚位	转向不精准	转向灵活	转向很沉	转向不精准	转向精准	转向轻盈	转向沉稳	转向较轻	转向偏沉	转向力度适中	横向空间小	有异响	转向性能不行	方向盘抖动	有异味	后排有隆起	转向手感不错	指向差	转弯半径小	横向空间大	新车味道大
第三排空间大	后排空间够大	第三排空间挤	后排空间不大	后排空间够大	前排空间够大	储物空间大	改装空间大	后排空间小	后排空间很大	横向空间大	空间、	门板储物空间大	横向空间小	前排空间够用	前排空间不错	前排空间偏小	空间很大	后备厢空间够大	空间够大	主驾空间小	空间小
内饰造型不错	内饰设计不错	内饰不错	内饰质感不错	内饰做工不错	内饰设计不错	内饰用料不好	内饰做工不好	内饰不好看	导航不错	尾灯造型独特	内饰用料差	内饰不够豪华	前排空间不错	内饰做工很好	动力不错	内饰豪华	做工不错	空间不错	发动机不错	内饰用料好	转向手感不错
充电不便利		充电便捷	内饰不错	内饰不好看	操控不好	视野不好	设计不好看	动力不平顺	刹车不好	高速不稳	省电	导航不错	座椅不灵活	设计不好	座椅不舒服	动力不足	配置不喜欢	空间不够用	刹车不灵敏	启停不好用	转向不精准
全景天窗还不错		内饰不错	内饰质感不错	导航不错	前排空间不错	动力不错	做工不错	空间不错	内饰做工不错	内饰设计不错	发动机不错	转向手感不错	氛围灯不错	外观做工不错	前脸不错	头部空间不错	加速不错	操控不错	配置不错	操控不好	视野不好
性价比高		配置很高	油耗较高	油耗偏高	内饰不错	空间、	屁股难看	操控不好	导航好用	配置略低	动力充足	油门适中	油门灵敏	视野宽敞	视野不好	避震硬朗	隔音好	屏幕清晰	远光够亮	座椅灵活	安全配置高
行驶稳定性优秀		高速稳定	驾驶位宽敞	刹车性能好	避震支撑性好	发动机稳定	座椅包裹性差	通过性好	通过性差	新车味道大	内饰不错	内饰不好看	转向力度适中	空间、	配置很高	门板储物格鸡肋	屁股难看	操控不好	导航好用	配置略低	动力充足
第一排空间宽松	前排空间够大	第三排空间挤	空间宽裕	前排空间够用	前排空间不错	前排空间偏小	后排空间不大	后排空间够大	前排空间够大	后排空间小	后排空间很大	后排空间够用	空间、	储物空间够用	储物空间很少	储物空间合理	空间一般	横向空间小	空间够用	空间很大	空间灵活
前排座椅调节方便	座椅灵活	后排座椅难受	后排座椅舒服	座椅灵活	座椅偏硬	座椅不灵活	座椅不舒服	前排空间够用	座椅不够舒服	前排空间不错	前排空间偏小	座椅用料好	座椅舒服	前排空间够大	座椅包裹性差	前脸好看	后排压抑	前脸霸气	后排支撑够	后排舒服	后排头部空间小
GPS差劲	导航差	路感差	用料略差	指向差	通过性差	导航差	新车味道大	内饰不错	内饰不好看	空间、	配置很高	屁股难看	操控不好	导航好用	配置略低	动力充足	油门适中	油门灵敏	视野宽敞	视野不好	避震硬朗
动力不错		动力不错	动力不足	内饰不错	动力充足	动力不平顺	导航不错	动力满意	动力偏弱	动力够用	做工不错	动力很弱	空间不错	发动机不错	前脸不错	加速不错	操控不错	配置不错	操控不好	视野不好	刹车不好
悬架减震不适	避震硬	悬架偏软	内饰不错	操控不好	视野不好	避震硬朗	内饰质感不错	刹车不好	音响效果不好	高速不稳	导航不错	内饰用料不好	设计不好	动力不足	变速箱不行	空调效果不好	前排空间不错	后排空间不大	内饰做工不好	动力不错	做工不错
内饰造型不好	内饰不好看	内饰用料不好	内饰做工不好	内饰不错	内饰不好看	内饰质感不错	内饰做工很好	内饰做工不错	内饰设计不错	内饰用料好	操控不好	视野不好	刹车不好	音响效果不好	尾灯造型独特	设计不好	内饰用料差	内饰不够豪华	空调效果不好	内饰豪华	用料不好
第三排座椅难受	后排座椅难受	后排座椅难受	后排座椅舒服	第三排空间挤	座椅灵活	座椅偏硬	座椅舒服	屁股难看	后排压抑	座椅不灵活	座椅不舒服	前排空间够用	后排支撑够	后排舒服	前排空间不错	油耗可以接受	前排空间偏小	后排空间不大	日行灯难看	后排无隆起	后排空间够大
表显油耗精准		油耗	油耗较高	转向不精准	转向精准	市区油耗高	油耗很低	油耗满意	油耗低	油耗偏高	操控精准	高速油耗高	油门适中	油门灵敏	油门重	油箱大	油门偏沉	油耗很满意	方向盘指向精准	油门很轻	油箱小
高速加速无力	加速较慢	高速不稳	加速较慢	高速稳定	加速不错	加速很快	高速油耗高	变速箱不行	变速箱响应慢	新车味道大	内饰不错	内饰不好看	转向力度适中	空间、	配置很高	屁股难看	操控不好	导航好用	配置略低	动力充足	油门适中
座椅材质差		座椅灵活	座椅偏硬	座椅不灵活	座椅不舒服	座椅用料好	座椅舒服	座椅包裹性差	路感差	内饰用料差	座椅不够舒服	用料略差	指向差	通过性差	导航差	新车味道大	内饰不错	内饰不好看	空间、	配置很高	屁股难看
第一排座椅调节费劲	座椅不灵活	后排座椅难受	后排座椅舒服	座椅灵活	座椅偏硬	座椅不灵活	座椅不舒服	座椅不够舒服	座椅用料好	座椅舒服	座椅包裹性差	第三排空间挤	后排压抑	前排空间够用	后排支撑够	后排舒服	后排头部空间小	前排空间不错	前排空间偏小	后排空间不大	后排无隆起
悬架减震优秀		悬架偏软	避震硬朗	避震偏硬	避震软	避震硬	避震太软	新车味道大	内饰不错	内饰不好看	转向力度适中	空间、	配置很高	屁股难看	操控不好	导航好用	配置略低	动力充足	油门适中	油门灵敏	视野宽敞
转向稳定性差劲		转向力度适中	转向灵活	转向很沉	转向不精准	转向精准	转向轻盈	转向沉稳	转向较轻	转向性能不行	座椅包裹性差	转向手感不错	指向差	转向偏沉	高速稳定	通过性差	刹车性能好	路感差	方向盘大小适中	横向空间小	内饰用料差
内饰造型还不错		内饰不错	内饰质感不错	内饰做工不错	内饰设计不错	内饰用料不好	内饰做工不好	内饰不好看	导航不错	尾灯造型独特	内饰用料差	内饰不够豪华	前排空间不错	内饰做工很好	动力不错	内饰豪华	做工不错	空间不错	发动机不错	内饰用料好	转向手感不错
加速好		隔音好	操控好	做工好	加速较慢	屏幕好	加速不错	加速很快	漆面好	空间、	操控不好	导航好用	视野不好	前脸好看	丰富	刹车不好	油耗	头部	高速不稳	路感差	油门重
方向盘轻重不合理		方向盘手感不好	方向盘大小适中	按键布局不合理	方向盘手感好	方向盘指向精准	方向盘抖动	按键布局合理	储物空间合理	转向不精准	转向轻盈	转向较轻	转向性能不行	转向手感不错	设计合理	内饰不错	内饰不好看	转向力度适中	操控不好	视野不好	设计不好看
扶手箱空间设计差劲		空间、	空间宽裕	储物空间够用	储物空间很少	储物空间合理	空间一般	设计不好	横向空间小	空间效果好	前排空间够用	空间不够用	前排空间不错	空间够用	前排空间偏小	后排空间不大	后备厢空间比较小	空间很大	空间灵活	设计好看	后排空间够大
前排空间宽松		前排空间够用	前排空间不错	前排空间偏小	前排空间够大	空间宽裕	后排空间不大	后排空间够大	后排空间小	后排空间很大	后排空间够用	空间、	储物空间够用	储物空间很少	储物空间合理	空间一般	横向空间小	空间够用	空间很大	空间灵活	空间不错
