后排座椅不能够调节	14	后排座椅难受	座椅不够舒服	后排座椅难受	后排座椅舒服	座椅不灵活	座椅不舒服	后排支撑够	后排空间不大	后排空间够大	后排空间够用	座椅灵活	后排压抑	座椅偏硬	内饰不够豪华	前排空间够用	空间不够用	后排舒服	后排头部空间小	前排空间不错	后排无隆起	后备厢空间够大
内饰材质不好	7	内饰用料不好	内饰用料不好	内饰做工不好	内饰不错	内饰不好看	内饰质感不错	内饰做工很好	内饰做工不错	内饰设计不错	内饰用料好	操控不好	视野不好	刹车不好	音响效果不好	设计不好	内饰用料差	车漆质量好	内饰不够豪华	空调效果不好	内饰豪华	用料不好
涉水能力好评	1		越野能力强	内饰不好看	操控不好	导航好用	动力充足	视野不好	隔音好	设计不好看	刹车性能好	前脸好看	刹车不好	日行灯好看	功能丰富	操控好	做工好	设计不好	车漆质量好	动力不足	空间效果好	动力满意
内饰做工细致	6	内饰做工很好	内饰做工不好	内饰做工很好	内饰做工不错	内饰不错	内饰不好看	内饰质感不错	做工好	内饰用料不好	内饰用料差	内饰不够豪华	做工讲究	内饰豪华	做工不错	内饰设计不错	内饰用料好	外观做工不错	内饰好看	内饰简洁	做工粗糙	外观做工不精细
中控台造型不好	1		操控不好	中控设计好	视野不好	刹车不好	音响效果不好	操控好	尾灯造型独特	内饰用料不好	设计不好	空调效果不好	内饰做工不好	操控很好	用料不好	避震效果不好	中控异响	方向盘手感不好	隔音不好	氛围灯不好	中控大气	中控简洁
动力差	1804	动力不足	动力充足	路感差	动力不足	动力满意	动力偏弱	动力够用	动力不错	动力很弱	指向差	导航差	空间、	隔音好	动力不平顺	丰富	油耗	头部	发动机抖	操控好	油门重	省电
车里隔音效果满意	1	隔音好	隔音好	音响效果不好	空间效果好	动力满意	空调效果不好	油耗很满意	空调效果好	避震效果不好	油耗满意	隔音不好	音响效果很好	音响效果一般	避震效果好	制冷效果好	车尾小气	车尾别扭	车头漂亮	车漆偏薄	车漆质量好	噪音小
动力满意	5445		动力满意	动力充足	动力不足	动力偏弱	动力够用	动力不错	动力很弱	油耗满意	动力不平顺	动力非常好	油耗很满意	内饰不错	空间、	配置很高	屁股难看	操控不好	导航好用	配置略低	油门适中	油门灵敏
动力足够	3551	动力够用	动力充足	动力不足	动力满意	动力偏弱	动力够用	动力不错	动力很弱	动力不平顺	动力非常好	内饰不错	空间、	配置很高	屁股难看	操控不好	导航好用	配置略低	油门适中	油门灵敏	视野宽敞	视野不好
后排座椅舒服	53		后排座椅舒服	后排舒服	后排座椅难受	座椅舒服	座椅不舒服	座椅灵活	后排压抑	操控比较舒服	座椅偏硬	后排支撑够	座椅不够舒服	后排空间不大	后排无隆起	后排空间够大	后排坐垫短	后排有隆起	后排空间小	后排空间很大	后排空间够用	座椅不灵活
